custAge,profession,marital,schooling,housing,loan,contact,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,responded,profit
33,entrepreneur,married,university.degree,yes,no,cellular,may,fri,2,1,-1.8,92.893,-46.2,1.334,5099.1,2,no,0
26,blue-collar,single,basic.9y,yes,no,cellular,jul,tue,6,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
57,retired,married,basic.9y,no,no,telephone,may,tue,1,0,1.1,93.994,-36.4,4.857,5191,0,no,0
30,student,single,university.degree,yes,no,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191,0,no,0
34,technician,married,university.degree,yes,no,cellular,aug,fri,3,0,-2.9,92.201,-31.4,0.825,5076.2,0,no,0
37,technician,single,professional.course,yes,no,cellular,apr,mon,3,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
55,entrepreneur,divorced,high.school,yes,no,cellular,jul,wed,1,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
52,management,married,university.degree,yes,yes,cellular,jul,mon,1,0,1.4,93.918,-42.7,4.96,5228.1,0,no,0
46,housemaid,married,basic.4y,yes,no,cellular,aug,fri,1,0,-2.9,92.201,-31.4,0.881,5076.2,0,no,0
37,retired,married,university.degree,yes,no,cellular,aug,mon,1,0,-2.9,92.201,-31.4,0.843,5076.2,0,no,0
30,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,1,0,1.4,94.465,-41.8,4.967,5228.1,0,no,0
41,technician,divorced,professional.course,yes,no,cellular,aug,wed,4,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
50,entrepreneur,married,basic.6y,yes,yes,cellular,jul,tue,1,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
41,admin.,married,university.degree,yes,no,cellular,jul,wed,1,1,-2.9,92.469,-33.6,1.029,5076.2,2,no,0
47,blue-collar,married,basic.9y,yes,no,telephone,may,tue,3,0,1.1,93.994,-36.4,4.856,5191,0,no,0
32,admin.,married,high.school,no,no,telephone,jun,wed,1,0,1.4,94.465,-41.8,4.962,5228.1,0,no,0
43,management,married,university.degree,yes,yes,cellular,apr,tue,8,0,-1.8,93.075,-47.1,1.423,5099.1,0,no,0
39,services,married,high.school,yes,yes,cellular,may,tue,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,no,0
47,blue-collar,married,basic.6y,yes,no,telephone,may,thu,3,0,1.1,93.994,-36.4,4.855,5191,0,no,0
32,admin.,divorced,high.school,yes,no,cellular,aug,wed,6,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
26,services,married,high.school,no,yes,telephone,jun,wed,1,0,1.4,94.465,-41.8,4.962,5228.1,0,no,0
35,blue-collar,single,basic.4y,no,no,cellular,jul,mon,4,0,1.4,93.918,-42.7,4.96,5228.1,0,no,0
35,management,single,university.degree,no,yes,cellular,nov,mon,1,0,-0.1,93.2,-42,4.191,5195.8,0,no,0
49,admin.,divorced,high.school,yes,no,telephone,jun,mon,5,0,1.4,94.465,-41.8,4.865,5228.1,0,no,0
32,services,married,basic.4y,no,no,cellular,nov,mon,1,0,-0.1,93.2,-42,4.191,5195.8,0,no,0
48,blue-collar,married,basic.9y,yes,no,cellular,aug,mon,6,0,1.4,93.444,-36.1,4.965,5228.1,0,no,0
32,admin.,single,university.degree,no,no,cellular,jul,mon,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
53,blue-collar,single,university.degree,yes,yes,telephone,jun,mon,3,0,1.4,94.465,-41.8,4.96,5228.1,0,no,0
33,admin.,married,university.degree,no,no,cellular,nov,fri,1,1,-0.1,93.2,-42,4.12,5195.8,5,no,0
37,self-employed,married,high.school,no,no,cellular,aug,tue,3,0,1.4,93.444,-36.1,4.963,5228.1,0,no,0
35,technician,single,basic.9y,yes,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.857,5191,0,no,0
34,technician,divorced,high.school,yes,yes,cellular,jul,thu,4,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
43,blue-collar,married,basic.9y,no,no,cellular,may,fri,1,0,-1.8,92.893,-46.2,1.313,5099.1,0,no,0
35,technician,married,professional.course,no,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.859,5191,0,no,0
35,management,single,university.degree,yes,no,cellular,aug,mon,2,0,1.4,93.444,-36.1,4.97,5228.1,0,no,0
53,blue-collar,married,basic.4y,no,no,telephone,may,wed,2,0,1.1,93.994,-36.4,4.858,5191,0,no,0
45,blue-collar,married,basic.4y,no,no,telephone,jul,tue,3,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
49,management,married,university.degree,yes,no,cellular,jul,mon,1,0,1.4,93.918,-42.7,4.957,5228.1,0,no,0
59,admin.,married,high.school,yes,no,cellular,aug,fri,1,0,1.4,93.444,-36.1,4.966,5228.1,0,no,0
31,management,single,university.degree,yes,no,cellular,nov,thu,1,0,-0.1,93.2,-42,4.076,5195.8,0,no,0
44,blue-collar,married,basic.6y,no,no,telephone,jun,tue,5,0,1.4,94.465,-41.8,4.864,5228.1,0,no,0
36,admin.,married,high.school,no,no,cellular,apr,fri,2,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
44,admin.,single,university.degree,no,no,telephone,jun,thu,2,0,1.4,94.465,-41.8,4.958,5228.1,0,no,0
48,unemployed,married,basic.4y,yes,no,cellular,jul,thu,6,0,1.4,93.918,-42.7,4.958,5228.1,0,no,0
31,management,single,university.degree,yes,yes,cellular,may,mon,1,0,-1.8,92.893,-46.2,1.299,5099.1,0,no,0
42,self-employed,married,university.degree,yes,no,telephone,jul,thu,27,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
33,blue-collar,divorced,basic.6y,yes,no,cellular,may,wed,1,1,-1.8,92.893,-46.2,1.334,5099.1,1,no,0
49,blue-collar,married,basic.9y,no,no,cellular,mar,fri,2,0,-1.8,93.369,-34.8,0.636,5008.7,0,no,0
29,admin.,single,high.school,yes,no,cellular,may,mon,1,0,-1.8,92.893,-46.2,1.244,5099.1,0,no,0
30,services,married,high.school,yes,no,cellular,nov,wed,4,1,-0.1,93.2,-42,4.12,5195.8,1,no,0
31,admin.,single,high.school,no,no,cellular,may,fri,2,1,-1.8,92.893,-46.2,1.25,5099.1,6,no,0
33,entrepreneur,married,university.degree,no,no,cellular,jul,mon,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
53,entrepreneur,married,basic.4y,yes,no,cellular,aug,fri,1,0,1.4,93.444,-36.1,4.963,5228.1,0,no,0
37,management,married,university.degree,no,no,cellular,nov,thu,2,1,-0.1,93.2,-42,4.076,5195.8,3,no,0
28,management,single,university.degree,no,no,cellular,jul,thu,2,0,1.4,93.918,-42.7,4.958,5228.1,0,no,0
34,admin.,single,university.degree,yes,no,cellular,jul,tue,2,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
41,admin.,married,university.degree,yes,no,cellular,aug,wed,2,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
24,blue-collar,married,basic.9y,yes,no,cellular,oct,fri,1,0,-3.4,92.431,-26.9,0.72,5017.5,0,no,0
36,admin.,married,university.degree,no,no,cellular,aug,wed,2,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
45,admin.,married,basic.9y,no,no,telephone,jun,mon,4,0,1.4,94.465,-41.8,4.961,5228.1,0,no,0
37,admin.,married,high.school,yes,no,telephone,may,mon,1,0,1.1,93.994,-36.4,4.858,5191,0,no,0
51,admin.,divorced,university.degree,yes,yes,cellular,nov,thu,2,0,-0.1,93.2,-42,4.076,5195.8,0,no,0
46,blue-collar,married,basic.4y,yes,no,cellular,aug,wed,1,0,1.4,93.444,-36.1,4.967,5228.1,0,no,0
36,services,single,high.school,no,no,cellular,jul,mon,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
58,blue-collar,married,basic.9y,no,yes,telephone,jun,thu,1,0,1.4,94.465,-41.8,4.866,5228.1,0,no,0
51,technician,married,professional.course,yes,no,telephone,jun,fri,1,0,1.4,94.465,-41.8,4.967,5228.1,0,no,0
31,admin.,divorced,high.school,no,yes,telephone,may,fri,1,0,1.1,93.994,-36.4,4.855,5191,0,no,0
38,blue-collar,divorced,basic.4y,no,no,cellular,nov,thu,2,0,-0.1,93.2,-42,4.076,5195.8,0,no,0
36,admin.,single,university.degree,yes,no,cellular,nov,wed,4,0,-0.1,93.2,-42,4.12,5195.8,0,no,0
29,admin.,married,high.school,no,no,telephone,may,wed,1,0,-1.8,93.876,-40,0.69,5008.7,0,no,0
32,admin.,single,university.degree,no,no,cellular,aug,wed,3,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
38,admin.,married,high.school,yes,no,telephone,may,fri,2,0,1.1,93.994,-36.4,4.859,5191,0,no,0
40,self-employed,married,basic.9y,no,no,cellular,nov,wed,1,0,-0.1,93.2,-42,4.12,5195.8,0,no,0
45,technician,married,university.degree,no,no,telephone,jun,mon,3,0,1.4,94.465,-41.8,4.865,5228.1,0,no,0
25,student,single,high.school,no,no,telephone,may,mon,6,0,-1.8,92.893,-46.2,1.244,5099.1,0,no,0
36,admin.,single,high.school,yes,no,cellular,apr,fri,1,1,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
28,services,married,high.school,yes,no,telephone,jul,thu,4,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
38,technician,married,university.degree,yes,no,cellular,jul,thu,1,0,-2.9,92.469,-33.6,1.072,5076.2,0,no,0
39,admin.,married,university.degree,yes,yes,cellular,aug,fri,3,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
42,blue-collar,married,basic.9y,yes,no,telephone,may,mon,5,0,1.1,93.994,-36.4,4.857,5191,0,no,0
26,entrepreneur,single,high.school,yes,no,cellular,may,mon,2,0,-1.8,92.893,-46.2,1.244,5099.1,0,no,0
46,housemaid,married,basic.4y,no,no,telephone,may,tue,2,0,1.1,93.994,-36.4,4.857,5191,0,no,0
35,technician,single,professional.course,no,yes,cellular,aug,fri,4,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
30,services,married,high.school,no,no,telephone,may,mon,3,0,1.1,93.994,-36.4,4.857,5191,0,no,0
30,admin.,single,university.degree,yes,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.963,5228.1,0,no,0
31,services,single,high.school,no,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.858,5191,0,no,0
37,blue-collar,divorced,basic.9y,yes,yes,cellular,apr,fri,1,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
30,blue-collar,married,basic.6y,yes,no,cellular,jul,fri,1,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
27,blue-collar,single,basic.9y,yes,no,cellular,may,thu,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,no,0
36,admin.,single,university.degree,no,no,cellular,jul,thu,40,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
31,blue-collar,married,professional.course,no,no,cellular,jul,wed,2,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
40,admin.,married,university.degree,yes,no,cellular,aug,wed,1,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
34,technician,single,university.degree,yes,no,cellular,jul,wed,1,0,1.4,93.918,-42.7,4.957,5228.1,0,no,0
55,admin.,married,university.degree,no,no,cellular,aug,wed,1,0,1.4,93.444,-36.1,4.967,5228.1,0,no,0
63,retired,married,university.degree,no,no,cellular,aug,tue,1,0,-2.9,92.201,-31.4,0.859,5076.2,0,no,0
50,admin.,married,university.degree,no,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.856,5191,0,no,0
30,admin.,single,university.degree,no,no,cellular,may,fri,2,0,-1.8,92.893,-46.2,1.25,5099.1,0,no,0
57,technician,married,university.degree,no,yes,cellular,jul,thu,2,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
44,blue-collar,single,basic.9y,no,no,telephone,may,thu,2,0,1.1,93.994,-36.4,4.855,5191,0,no,0
33,admin.,single,university.degree,yes,no,cellular,aug,wed,4,0,1.4,93.444,-36.1,4.967,5228.1,0,no,0
49,blue-collar,married,basic.9y,no,no,cellular,nov,fri,5,0,-0.1,93.2,-42,4.021,5195.8,0,no,0
40,admin.,married,university.degree,yes,no,telephone,may,thu,7,0,1.1,93.994,-36.4,4.86,5191,0,no,0
21,blue-collar,married,basic.9y,yes,no,cellular,jul,wed,1,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
46,admin.,married,university.degree,no,no,telephone,may,tue,2,0,1.1,93.994,-36.4,4.857,5191,0,no,0
45,admin.,divorced,high.school,yes,no,cellular,jul,fri,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
45,blue-collar,married,high.school,no,no,telephone,jun,wed,2,0,1.4,94.465,-41.8,4.962,5228.1,0,no,0
35,services,married,basic.9y,yes,yes,cellular,jul,wed,6,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
27,services,single,high.school,yes,no,cellular,jun,mon,1,0,-2.9,92.963,-40.8,1.26,5076.2,0,no,0
50,services,married,high.school,yes,yes,cellular,may,fri,1,0,-1.8,92.893,-46.2,1.25,5099.1,0,no,0
54,blue-collar,married,professional.course,yes,no,cellular,aug,thu,3,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
40,blue-collar,married,basic.6y,no,no,telephone,may,thu,1,0,1.1,93.994,-36.4,4.855,5191,0,no,0
39,admin.,married,high.school,yes,yes,cellular,jun,tue,1,0,-2.9,92.963,-40.8,1.262,5076.2,0,no,0
57,services,divorced,basic.4y,yes,no,telephone,jun,mon,4,0,1.4,94.465,-41.8,4.96,5228.1,0,no,0
42,blue-collar,married,high.school,no,no,telephone,jun,wed,7,0,1.4,94.465,-41.8,4.959,5228.1,0,no,0
30,technician,single,university.degree,no,no,cellular,nov,thu,3,0,-0.1,93.2,-42,4.076,5195.8,0,no,0
55,technician,married,professional.course,yes,no,cellular,aug,tue,6,0,1.4,93.444,-36.1,4.965,5228.1,0,no,0
24,services,married,high.school,yes,no,cellular,may,mon,1,0,-1.8,92.893,-46.2,1.299,5099.1,0,no,0
56,retired,divorced,university.degree,yes,no,telephone,may,thu,1,0,1.1,93.994,-36.4,4.86,5191,0,no,0
36,self-employed,single,university.degree,no,no,cellular,jul,thu,1,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
40,management,married,university.degree,yes,no,cellular,may,tue,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,no,0
37,admin.,single,university.degree,no,no,cellular,aug,wed,11,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
38,technician,single,professional.course,yes,no,cellular,jul,tue,2,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
48,entrepreneur,married,university.degree,yes,no,cellular,nov,mon,2,0,-0.1,93.2,-42,4.191,5195.8,0,no,0
45,admin.,single,university.degree,no,no,cellular,aug,mon,2,0,1.4,93.444,-36.1,4.965,5228.1,0,no,0
42,blue-collar,divorced,high.school,yes,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.858,5191,0,no,0
34,services,single,high.school,yes,no,telephone,jun,fri,14,0,1.4,94.465,-41.8,4.959,5228.1,0,no,0
37,admin.,married,university.degree,yes,yes,cellular,may,fri,2,0,-1.8,92.893,-46.2,1.313,5099.1,0,no,0
43,blue-collar,married,basic.9y,no,no,cellular,may,thu,2,0,-1.8,92.893,-46.2,1.327,5099.1,0,no,0
48,blue-collar,divorced,basic.9y,yes,no,cellular,nov,mon,1,1,-0.1,93.2,-42,4.191,5195.8,1,no,0
49,admin.,single,university.degree,yes,no,telephone,jun,tue,3,0,1.4,94.465,-41.8,4.961,5228.1,0,no,0
59,self-employed,married,university.degree,no,no,cellular,may,tue,2,0,-1.8,92.893,-46.2,1.266,5099.1,0,no,0
37,admin.,single,university.degree,no,no,cellular,aug,thu,1,1,-2.9,92.201,-31.4,0.883,5076.2,4,no,0
39,admin.,married,professional.course,yes,no,telephone,may,tue,2,0,1.1,93.994,-36.4,4.856,5191,0,no,0
70,admin.,married,basic.4y,no,no,cellular,sep,tue,1,1,-3.4,92.379,-29.8,0.77,5017.5,4,no,0
47,entrepreneur,married,basic.6y,no,no,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191,0,no,0
42,blue-collar,married,basic.9y,no,no,telephone,may,wed,2,0,1.1,93.994,-36.4,4.856,5191,0,no,0
26,technician,single,professional.course,no,no,telephone,oct,mon,1,1,-1.1,94.601,-49.5,0.977,4963.6,2,no,0
25,self-employed,single,university.degree,no,no,cellular,apr,mon,2,1,-1.8,93.749,-34.6,0.643,5008.7,5,no,0
44,technician,married,professional.course,no,no,cellular,aug,wed,9,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
50,blue-collar,married,basic.9y,yes,yes,cellular,nov,fri,7,0,-0.1,93.2,-42,4.021,5195.8,0,no,0
30,management,married,university.degree,yes,no,cellular,sep,wed,1,1,-1.1,94.199,-37.5,0.88,4963.6,1,no,0
39,admin.,married,professional.course,yes,no,telephone,may,tue,5,0,1.1,93.994,-36.4,4.856,5191,0,no,0
52,technician,married,professional.course,no,no,cellular,aug,tue,1,0,1.4,93.444,-36.1,4.968,5228.1,0,no,0
38,technician,married,professional.course,no,no,cellular,mar,thu,1,0,-1.8,92.843,-50,1.757,5099.1,0,no,0
